CIS-899 PHD INDEPENDENT STUDY        1 TO 4 CU
     SEE DEPT. FOR SECTION NUMBERS
     UNDERGRADUATES NEED PERMISSION
 000 IND TBA                               STAFF
 001 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 002 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 003 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 004 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 005 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 006 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 007 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 008 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 009 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 010 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 011 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 012 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 013 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 014 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 015 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 016 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 017 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 018 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 019 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 020 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 021 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 022 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 023 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 024 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 025 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 026 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 027 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 028 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 029 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 030 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 031 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 032 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 033 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 034 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 035 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 036 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 037 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 038 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 039 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 041 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 042 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 043 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 044 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 045 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 046 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 047 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 048 IND TBA                               STAFF
     PERMISSION NEEDED FROM DEPARTMENT
 
